Hecho Punible,Dpto,Denunciado,Aclarado,Semestre,Mes
ABIGEATO,Asuncion,0,0,1,Enero
COACCION SEXUAL,Asuncion,6,4,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,Asuncion,4,4,1,Enero
HOMICIDIO DOLOSO,Asuncion,1,1,1,Enero
HURTO,Asuncion,26,18,1,Enero
HURTO AGRAVADO,Asuncion,12,8,1,Enero
LESION CULPOSA EN ACC. DE TTO.,Asuncion,16,16,1,Enero
LESION,Asuncion,19,9,1,Enero
ROBO DE OBJETOS,Asuncion,10,6,1,Enero
ROBO AGRAVADO DE OBJETOS,Asuncion,9,0,1,Enero
ROBO DE VEHICULOS,Asuncion,26,0,1,Enero
ROBO AGRAVADO DE VEHICULOS,Asuncion,0,0,1,Enero
ROBO DE MOTOCICLETAS,Asuncion,45,2,1,Enero
ROBO AGRAVADO DE MOTOCICLETAS,Asuncion,1,0,1,Enero
ABIGEATO,Central,5,0,1,Enero
COACCION SEXUAL,Central,17,11,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,Central,10,9,1,Enero
HOMICIDIO DOLOSO,Central,8,3,1,Enero
HURTO,Central,64,36,1,Enero
HURTO AGRAVADO,Central,35,13,1,Enero
LESION CULPOSA EN ACC. DE TTO.,Central,56,56,1,Enero
LESION,Central,45,24,1,Enero
ROBO DE OBJETOS,Central,19,11,1,Enero
ROBO AGRAVADO DE OBJETOS,Central,49,13,1,Enero
ROBO DE VEHICULOS,Central,30,0,1,Enero
ROBO AGRAVADO DE VEHICULOS,Central,1,0,1,Enero
ROBO DE MOTOCICLETAS,Central,86,4,1,Enero
ROBO AGRAVADO DE MOTOCICLETAS,Central,14,2,1,Enero
ABIGEATO,Cordillera,4,0,1,Enero
COACCION SEXUAL,Cordillera,4,1,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,Cordillera,2,1,1,Enero
HOMICIDIO DOLOSO,Cordillera,0,0,1,Enero
HURTO,Cordillera,11,3,1,Enero
HURTO AGRAVADO,Cordillera,4,0,1,Enero
LESION CULPOSA EN ACC. DE TTO.,Cordillera,23,22,1,Enero
LESION,Cordillera,7,5,1,Enero
ROBO DE OBJETOS,Cordillera,4,1,1,Enero
ROBO AGRAVADO DE OBJETOS,Cordillera,4,0,1,Enero
ROBO DE VEHICULOS,Cordillera,0,0,1,Enero
ROBO AGRAVADO DE VEHICULOS,Cordillera,0,0,1,Enero
ROBO DE MOTOCICLETAS,Cordillera,11,1,1,Enero
ROBO AGRAVADO DE MOTOCICLETAS,Cordillera,0,0,1,Enero
ABIGEATO,Amambay,1,0,1,Enero
COACCION SEXUAL,Amambay,1,0,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,Amambay,1,0,1,Enero
HOMICIDIO DOLOSO,Amambay,10,1,1,Enero
HURTO,Amambay,6,3,1,Enero
HURTO AGRAVADO,Amambay,1,0,1,Enero
LESION CULPOSA EN ACC. DE TTO.,Amambay,7,5,1,Enero
LESION,Amambay,19,3,1,Enero
ROBO DE OBJETOS,Amambay,2,0,1,Enero
ROBO AGRAVADO DE OBJETOS,Amambay,6,2,1,Enero
ROBO DE VEHICULOS,Amambay,1,0,1,Enero
ROBO AGRAVADO DE VEHICULOS,Amambay,0,0,1,Enero
ROBO DE MOTOCICLETAS,Amambay,0,0,1,Enero
ROBO AGRAVADO DE MOTOCICLETAS,Amambay,0,0,1,Enero
ABIGEATO,Concepcion,1,1,1,Enero
COACCION SEXUAL,Concepcion,3,3,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,Concepcion,4,3,1,Enero
HOMICIDIO DOLOSO,Concepcion,3,3,1,Enero
HURTO,Concepcion,4,2,1,Enero
HURTO AGRAVADO,Concepcion,4,2,1,Enero
LESION CULPOSA EN ACC. DE TTO.,Concepcion,4,3,1,Enero
LESION,Concepcion,10,5,1,Enero
ROBO DE OBJETOS,Concepcion,0,0,1,Enero
ROBO AGRAVADO DE OBJETOS,Concepcion,8,2,1,Enero
ROBO DE VEHICULOS,Concepcion,0,0,1,Enero
ROBO AGRAVADO DE VEHICULOS,Concepcion,0,0,1,Enero
ROBO DE MOTOCICLETAS,Concepcion,12,1,1,Enero
ROBO AGRAVADO DE MOTOCICLETAS,Concepcion,10,1,1,Enero
ABIGEATO,Alto Paraguay,1,0,1,Enero
COACCION SEXUAL,Alto Paraguay,0,0,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Paraguay,0,0,1,Enero
HOMICIDIO DOLOSO,Alto Paraguay,1,0,1,Enero
HURTO,Alto Paraguay,1,0,1,Enero
HURTO AGRAVADO,Alto Paraguay,0,0,1,Enero
LESION CULPOSA EN ACC. DE TTO.,Alto Paraguay,0,0,1,Enero
LESION,Alto Paraguay,1,1,1,Enero
ROBO DE OBJETOS,Alto Paraguay,0,0,1,Enero
ROBO AGRAVADO DE OBJETOS,Alto Paraguay,0,0,1,Enero
ROBO DE VEHICULOS,Alto Paraguay,0,0,1,Enero
ROBO AGRAVADO DE VEHICULOS,Alto Paraguay,0,0,1,Enero
ROBO DE MOTOCICLETAS,Alto Paraguay,1,1,1,Enero
ROBO AGRAVADO DE MOTOCICLETAS,Alto Paraguay,0,0,1,Enero
ABIGEATO,San Pedro,4,1,1,Enero
COACCION SEXUAL,San Pedro,0,0,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,San Pedro,9,9,1,Enero
HOMICIDIO DOLOSO,San Pedro,2,0,1,Enero
HURTO,San Pedro,3,1,1,Enero
HURTO AGRAVADO,San Pedro,3,1,1,Enero
LESION CULPOSA EN ACC. DE TTO.,San Pedro,13,13,1,Enero
LESION,San Pedro,7,1,1,Enero
ROBO DE OBJETOS,San Pedro,2,2,1,Enero
ROBO AGRAVADO DE OBJETOS,San Pedro,5,2,1,Enero
ROBO DE VEHICULOS,San Pedro,0,0,1,Enero
ROBO AGRAVADO DE VEHICULOS,San Pedro,0,0,1,Enero
ROBO DE MOTOCICLETAS,San Pedro,0,0,1,Enero
ROBO AGRAVADO DE MOTOCICLETAS,San Pedro,0,0,1,Enero
ABIGEATO,Caaguazu,8,1,1,Enero
COACCION SEXUAL,Caaguazu,4,0,1,Enero
HOMICIDIO CULPOSO EN ACC DE TTO.,Caaguazu,11,9,1,Enero
HOMICIDIO DOLOSO,Caaguazu,1,1,1,Enero
HURTO,Caaguazu,11,5,1,Enero
HURTO AGRAVADO,Caaguazu,7,2,1,Enero
LESION CULPOSA EN ACC. DE TTO.,Caaguazu,23,20,1,Enero
LESION,Caaguazu,8,4,1,Enero
ROBO DE OBJETOS,Caaguazu,2,2,1,Enero
ROBO AGRAVADO DE OBJETOS,Caaguazu,7,0,1,Enero
ROBO DE VEHICULOS,Caaguazu,0,0,1,Enero
